step,time_s,T_J1_rad,T_J2_rad,T_J3_rad,T_J4_rad,T_J5_rad,T_J6_rad,A_J1_rad,A_J2_rad,A_J3_rad,A_J4_rad,A_J5_rad,A_J6_rad,Eabs_J1_rad,Eabs_J2_rad,Eabs_J3_rad,Eabs_J4_rad,Eabs_J5_rad,Eabs_J6_rad
48,0.12,1.294739922774896,-0.21306342154745422,0.2724484873318783,-1.0840788510645725,1.4034728793431246,1.417499281338792,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0005111543729472423,0.0017463325441556266,0.0014339491349243394,5.6770595127098034e-05,0.00030487850900251523,0.0005220820273517113
49,0.1225,1.2947614023405187,-0.21298989691932824,0.2723880593876479,-1.0840812250487033,1.4034857054279324,1.4175211919679327,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0005326339385700596,0.0018198571722816137,0.001494377079154785,5.9144579257930374e-05,0.00031770459381030847,0.0005439926564922981
50,0.125,1.2947833214253446,-0.21291485608421648,0.272326380698811,-1.0840836466429713,1.4034987951811415,1.4175435485848253,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0005545530233959095,0.0018948980073933697,0.0015560557679916709,6.156617352592875e-05,0.00033079434701943633,0.0005663492733849473
51,0.1275,1.2948056798245444,-0.2128382990276242,0.27226345097085525,-1.084086115765843,1.4035121485552524,1.4175663508360912,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0005769114225957495,0.001971455063985661,0.0016189854959474115,6.403529639764649e-05,0.000344147721130339,0.0005891515246507772
52,0.13,1.2948284773292316,-0.21276022573475448,0.27219926990330096,-1.0840886323341763,1.4035257655018745,1.4175895983612483,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0005997089272828937,0.0020495283568553735,0.0016831665635017035,6.655186473092378e-05,0.0003577646677523916,0.0006123990498079213
53,0.1325,1.2948517137264643,-0.21268063619050778,0.27213383718970074,-1.0840911962632223,1.4035396459717302,1.4176132907927155,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.000622945324515678,0.0021291179011020678,0.0017485992771019143,6.911579377688604e-05,0.0003716451376081231,0.0006360914812750806
54,0.135,1.2948753887992532,-0.21259953037948132,0.272067152517638,-1.0840938074666289,1.4035537899146595,1.417637427755812,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0006466203973045648,0.002210223712128534,0.0018152839491646366,7.172699718349662e-05,0.0003857890805374353,0.0006602284443715245
55,0.1375,1.2948995023265646,-0.21251690828596842,0.27199921556872597,-1.0840964658564425,1.4035681972796243,1.417662008868763,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0006707339246159183,0.0022928458056414303,0.0018832208980766874,7.438538699711117e-05,0.0004001964455022655,0.0006848095573226409
56,0.14,1.2949240540833256,-0.2124327698939581,0.27193002601860694,-1.0840991713431098,1.4035828680147115,1.4176870337426992,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0006952856813768893,0.0023769841976517547,0.0019524104481957183,7.709087366447598e-05,0.00041486718058947325,0.0007098344312588267
57,0.14250000000000002,1.2949490438404299,-0.212347115187134,0.27185958353695033,-1.0841019238354819,1.4035978020671391,1.4177125019816608,1.2942287684019487,-0.21480975409160985,0.27388243646680266,-1.0840220804694454,1.403168000834122,1.4169771993114404,0.0007202754384811882,0.0024626389044758445,0.0020228529298523257,7.984336603650277e-05,0.0004298012330170575,0.0007353026702203724
